id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date,size_imputed_flag
DubaiPulse_DLD_sale_1-11-2007-200271,DubaiPulse_DLD,Marina,1170343.0,201.93,0,Apartment,25.07814249687839,55.140966950756166,2007-08-27,2007-08-27,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161296+00:00,5795.785668300896,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-200766,DubaiPulse_DLD,Marina,394113.0,68.0,0,Apartment,25.079954241488455,55.14193531026948,2007-10-01,2007-10-01,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161385+00:00,5795.779411764706,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2022-11658,DubaiPulse_DLD,Marina,805000.0,83.59,0,Apartment,25.081475249704862,55.1388876959963,2022-05-30,2022-05-30,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161482+00:00,9630.33855724369,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2023-17290,DubaiPulse_DLD,Marina,1925000.0,135.35,0,Apartment,25.080299161142882,55.138045417218805,2023-06-07,2023-06-07,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161660+00:00,14222.386405615072,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2021-10906,DubaiPulse_DLD,Marina,1270000.0,125.14,0,Apartment,25.081263930302175,55.138507617354534,2021-06-24,2021-06-24,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161823+00:00,10148.6335304459,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-200929,DubaiPulse_DLD,Marina,406169.0,70.08,0,Apartment,25.078698539802797,55.14130773619636,2007-10-04,2007-10-04,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161914+00:00,5795.790525114156,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2008-208300,DubaiPulse_DLD,Marina,1300000.0,69.67,0,Apartment,25.079753630839587,55.139741265817925,2008-11-03,2008-11-03,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162003+00:00,18659.394287354673,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2013-12852,DubaiPulse_DLD,Marina,1084000.0,107.1,0,Apartment,25.081989911232817,55.139621727543684,2013-05-21,2013-05-21,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162095+00:00,10121.381886087769,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-41-2013-3537,DubaiPulse_DLD,Marina,1050000.0,107.1,0,Apartment,25.080578199141428,55.13816612619551,2013-10-28,2013-10-28,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162186+00:00,9803.921568627451,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-41-2013-669,DubaiPulse_DLD,Marina,685899.0,65.84,0,Apartment,25.081959957296057,55.141417929370476,2013-05-21,2013-05-21,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162277+00:00,10417.664034021871,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2013-36845,DubaiPulse_DLD,Marina,1300000.0,120.27,0,Apartment,25.078735545568918,55.1388615256706,2013-12-30,2013-12-30,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162436+00:00,10809.013053961919,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-41-2013-563,DubaiPulse_DLD,Marina,724250.0,65.82,0,Apartment,25.078614106262084,55.14192237235935,2013-05-16,2013-05-16,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162526+00:00,11003.494378608328,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2013-11517,DubaiPulse_DLD,Marina,858061.0,78.98,0,Apartment,25.07988356777414,55.13970861314693,2013-05-13,2013-05-13,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162695+00:00,10864.28209673335,,False,Residential,Unit,Flat,,,,,
